say;<source src="/media/english/uk_pron/u/uks/uksax/uksax__005.mp3" type="audio/mpeg"/>
say;<source src="/media/english/uk_pron/u/uks/uksax/uksax__005.mp3" type="audio/mpeg"/>
say;<source src="/media/english/uk_pron/u/uks/uksax/uksax__005.mp3" type="audio/mpeg"/>
tell;<source src="/media/english/uk_pron/u/ukt/uktel/uktelex002.mp3" type="audio/mpeg"/>
agree;<source src="/media/english/uk_pron/u/uka/ukagi/ukagita021.mp3" type="audio/mpeg"/>
claim;<source src="/media/english/uk_pron/u/ukc/ukciv/ukcivvy008.mp3" type="audio/mpeg"/>
claim;<source src="/media/english/uk_pron/u/ukc/ukciv/ukcivvy008.mp3" type="audio/mpeg"/>
promise;<source src="/media/english/uk_pron/u/ukp/ukpro/ukpromi006.mp3" type="audio/mpeg"/>
promise;<source src="/media/english/uk_pron/u/ukp/ukpro/ukpromi006.mp3" type="audio/mpeg"/>
refuse;<source src="/media/english/uk_pron/u/ukr/ukref/ukrefre015.mp3" type="audio/mpeg"/>
refuse;<source src="/media/english/uk_pron/u/ukr/ukref/ukrefre014.mp3" type="audio/mpeg"/>
swear;<source src="/media/english/uk_pron/u/uks/ukswa/ukswast008.mp3" type="audio/mpeg"/>
threaten;<source src="/media/english/uk_pron/u/ukt/uktho/ukthoug010.mp3" type="audio/mpeg"/>
admit;<source src="/media/english/uk_pron/u/uka/ukadj/ukadjus024.mp3" type="audio/mpeg"/>
answer;<source src="/media/english/uk_pron/u/uka/ukano/ukanore006.mp3" type="audio/mpeg"/>
answer;<source src="/media/english/uk_pron/u/uka/ukano/ukanore006.mp3" type="audio/mpeg"/>
confess;<source src="/media/english/uk_pron/u/ukc/ukcon/ukcondu016.mp3" type="audio/mpeg"/>
deny;<source src="/media/english/uk_pron/u/ukd/ukden/ukdensi012.mp3" type="audio/mpeg"/>
recommend;<source src="/media/english/uk_pron/u/ukr/ukrec/ukrecli013.mp3" type="audio/mpeg"/>
remind;<source src="/media/english/uk_pron/u/ukr/ukrem/ukremak010.mp3" type="audio/mpeg"/>
warn;<source src="/media/english/uk_pron/u/ukw/ukwan/ukwant_029.mp3" type="audio/mpeg"/>
accuse;<source src="/media/english/uk_pron/u/uka/ukacc/ukaccou021.mp3" type="audio/mpeg"/>
blame;<source src="/media/english/uk_pron/u/ukb/ukbla/ukblack021.mp3" type="audio/mpeg"/>
blame;<source src="/media/english/uk_pron/u/ukb/ukbla/ukblack021.mp3" type="audio/mpeg"/>
complain;<source src="/media/english/uk_pron/u/ukc/ukcom/ukcompe010.mp3" type="audio/mpeg"/>
regret;<source src="/media/english/uk_pron/u/ukr/ukreg/ukregen025.mp3" type="audio/mpeg"/>
regret;<source src="/media/english/uk_pron/u/ukr/ukreg/ukregen025.mp3" type="audio/mpeg"/>
insist;<source src="/media/english/uk_pron/u/uki/ukins/ukinsin010.mp3" type="audio/mpeg"/>
suggest;<source src="/media/english/uk_pron/u/uks/uksug/uksugar002.mp3" type="audio/mpeg"/>
advise;<source src="/media/english/uk_pron/u/uka/ukadv/ukadver007.mp3" type="audio/mpeg"/>
ask;<source src="/media/english/uk_pron/u/uka/ukasi/ukaside003.mp3" type="audio/mpeg"/>
beg;<source src="/media/english/uk_pron/u/ukb/ukbee/ukbeer_015.mp3" type="audio/mpeg"/>
convince;<source src="/media/english/uk_pron/u/ukc/ukcon/ukconve011.mp3" type="audio/mpeg"/>
encourage;<source src="/media/english/uk_pron/u/uke/ukenc/ukencas019.mp3" type="audio/mpeg"/>
forbid;<source src="/media/english/uk_pron/u/ukf/ukfor/ukforbe005.mp3" type="audio/mpeg"/>
invite;<source src="/media/english/uk_pron/u/uki/ukinv/ukinvig013.mp3" type="audio/mpeg"/>
invite;<source src="/media/english/uk_pron/u/uki/ukinv/ukinvig013.mp3" type="audio/mpeg"/>
order;<source src="/media/english/uk_pron/u/uko/ukora/ukorang022.mp3" type="audio/mpeg"/>
order;<source src="/media/english/uk_pron/u/uko/ukora/ukorang022.mp3" type="audio/mpeg"/>
persuade;<source src="/media/english/uk_pron/u/ukp/ukper/ukperso015.mp3" type="audio/mpeg"/>
novel;<source src="/media/english/uk_pron/u/ukn/uknot/uknotif020.mp3" type="audio/mpeg"/>
novel;<source src="/media/english/uk_pron/u/ukn/uknot/uknotif020.mp3" type="audio/mpeg"/>
pollen;<source src="/media/english/uk_pron/u/ukp/ukpol/ukpolka002.mp3" type="audio/mpeg"/>
goose;<source src="/media/english/uk_pron/u/ukg/ukgon/ukgonad027.mp3" type="audio/mpeg"/>
goose;<source src="/media/english/uk_pron/u/ukg/ukgon/ukgonad027.mp3" type="audio/mpeg"/>
knife;<source src="/media/english/uk_pron/u/ukk/ukkne/ukkneel011.mp3" type="audio/mpeg"/>
knife;<source src="/media/english/uk_pron/u/ukk/ukkne/ukkneel011.mp3" type="audio/mpeg"/>
shelf;<source src="/media/english/uk_pron/u/uks/ukshe/uksheat023.mp3" type="audio/mpeg"/>
matter;<source src="/media/english/uk_pron/u/ukm/ukmat/ukmatri013.mp3" type="audio/mpeg"/>
matter;<source src="/media/english/uk_pron/u/ukm/ukmat/ukmatri013.mp3" type="audio/mpeg"/>
reluctant;<source src="/media/english/uk_pron/u/ukr/ukrel/ukrelen024.mp3" type="audio/mpeg"/>
listen-in;<source src="/media/english/uk_pron/u/ukl/uklis/uklisp_004.mp3" type="audio/mpeg"/>
recall;<source src="/media/english/uk_pron/u/ukr/ukreb/ukrebui007.mp3" type="audio/mpeg"/>
recall;<source src="/media/english/uk_pron/u/ukr/ukreb/ukrebui007.mp3" type="audio/mpeg"/>
mat;<source src="/media/english/uk_pron/u/ukm/ukmas/ukmassi023.mp3" type="audio/mpeg"/>
pen;<source src="/media/english/uk_pron/u/ukp/ukpee/ukpeewe016.mp3" type="audio/mpeg"/>
pen;<source src="/media/english/uk_pron/u/ukp/ukpee/ukpeewe016.mp3" type="audio/mpeg"/>
pan;<source src="/media/english/uk_pron/u/ukp/ukpam/ukpampe003.mp3" type="audio/mpeg"/>
pan;<source src="/media/english/uk_pron/u/ukp/ukpam/ukpampe003.mp3" type="audio/mpeg"/>
lad;<source src="/media/english/uk_pron/u/ukl/uklac/uklacta009.mp3" type="audio/mpeg"/>
latter;<source src="/media/english/uk_pron/u/ukl/uklat/uklat__026.mp3" type="audio/mpeg"/>
latter;<source src="/media/english/uk_pron/u/ukl/uklat/uklat__026.mp3" type="audio/mpeg"/>
letter;<source src="/media/english/uk_pron/u/ukl/ukles/ukles__018.mp3" type="audio/mpeg"/>
letter;<source src="/media/english/uk_pron/u/ukl/ukles/ukles__018.mp3" type="audio/mpeg"/>
flesh;<source src="/media/english/uk_pron/u/ukf/ukfle/ukfleab016.mp3" type="audio/mpeg"/>
craft;<source src="/media/english/uk_pron/u/ukc/ukcra/ukcradl002.mp3" type="audio/mpeg"/>
craft;<source src="/media/english/uk_pron/u/ukc/ukcra/ukcradl002.mp3" type="audio/mpeg"/>
craft;<source src="/media/english/uk_pron/c/cdo/cdo03/cdo0318ukcraf0370.mp3" type="audio/mpeg"/>
jury;<source src="/media/english/uk_pron/u/ukj/ukjet/ukjetsa014.mp3" type="audio/mpeg"/>
skillful;<source src="/media/english/uk_pron/u/uks/ukske/uksketc017.mp3" type="audio/mpeg"/>
needle;<source src="/media/english/uk_pron/u/ukn/ukneb/uknebbo030.mp3" type="audio/mpeg"/>
needle;<source src="/media/english/uk_pron/u/ukn/ukneb/uknebbo030.mp3" type="audio/mpeg"/>
unravel;<source src="/media/english/uk_pron/u/uku/ukunp/ukunpre024.mp3" type="audio/mpeg"/>
murderer;<source src="/media/english/uk_pron/u/ukm/ukmun/ukmunif007.mp3" type="audio/mpeg"/>
journey;<source src="/media/english/uk_pron/u/ukj/ukjol/ukjolli021.mp3" type="audio/mpeg"/>
journey;<source src="/media/english/uk_pron/u/ukj/ukjol/ukjolli021.mp3" type="audio/mpeg"/>
mirror;<source src="/media/english/uk_pron/u/ukm/ukmir/ukmirro001.mp3" type="audio/mpeg"/>
mirror;<source src="/media/english/uk_pron/u/ukm/ukmir/ukmirro001.mp3" type="audio/mpeg"/>
rear;<source src="/media/english/uk_pron/u/ukr/ukrea/ukreapp002.mp3" type="audio/mpeg"/>
rear;<source src="/media/english/uk_pron/u/ukr/ukrea/ukreapp002.mp3" type="audio/mpeg"/>
rear;<source src="/media/english/uk_pron/u/ukr/ukrea/ukreapp002.mp3" type="audio/mpeg"/>
flash;<source src="/media/english/uk_pron/u/ukf/ukfla/ukflami014.mp3" type="audio/mpeg"/>
flash;<source src="/media/english/uk_pron/u/ukf/ukfla/ukflami014.mp3" type="audio/mpeg"/>
flash;<source src="/media/english/uk_pron/u/ukf/ukfla/ukflami014.mp3" type="audio/mpeg"/>
escape;<source src="/media/english/uk_pron/u/uke/ukesc/ukescap001.mp3" type="audio/mpeg"/>
escape;<source src="/media/english/uk_pron/u/uke/ukesc/ukescap001.mp3" type="audio/mpeg"/>
get-in;<source src="/media/english/uk_pron/u/ukg/ukger/ukgerma022.mp3" type="audio/mpeg"/>
